"","V85","V86","V87","V88","V89","V227","V211","V214","V248","V191","V242","V240","V141","C_COW_ALPHA","V84","V103","V29","V28","V25","V30","V32","V34","V35","V116","V115","V227.1","V229","V191.1","V248.1","V118","V115.1","V105"
"80881",3,3,3,3,3,1,2,1,7,1,61,2,4,"UKR",3,1,0,1,2,0,0,0,0,3,3,1,1,1,7,3,3,3
"80882",1,2,3,3,3,1,1,1,5,1,63,2,2,"UKR",3,1,0,0,2,0,0,0,0,3,3,1,4,1,5,3,3,2
"80883",3,3,3,3,3,2,2,1,2,1,73,2,5,"UKR",1,1,0,0,2,0,0,0,0,3,2,2,4,1,2,3,2,3
"80884",3,3,3,3,3,1,3,2,2,1,73,2,5,"UKR",2,1,0,0,0,0,0,0,0,1,2,1,4,1,2,2,2,3
"80885",3,3,3,3,3,1,1,1,9,1,72,2,1,"UKR",3,2,0,0,0,0,0,0,0,4,4,1,4,1,9,3,4,4
"80886",3,3,3,3,3,1,3,2,5,1,65,2,1,"UKR",4,1,0,0,0,0,0,0,0,4,4,1,4,1,5,4,4,3
"80887",3,3,3,3,3,1,3,3,5,2,69,2,6,"UKR",4,2,0,0,0,0,0,0,0,2,2,1,4,2,5,2,2,3
"80888",3,3,3,3,3,1,5,3,6,1,70,2,3,"UKR",2,2,0,0,0,0,0,0,0,3,3,1,4,1,6,3,3,3
"80889",3,3,3,3,3,1,2,2,5,1,62,2,10,"UKR",2,2,0,0,0,0,0,0,0,2,2,1,4,1,5,2,2,2
"80890",3,3,3,3,3,1,3,2,5,1,71,2,10,"UKR",2,1,0,0,0,0,0,0,0,3,3,1,4,1,5,3,3,2
"80891",3,3,3,3,3,1,5,3,6,2,84,2,1,"UKR",3,1,0,0,0,0,0,0,0,2,2,1,4,2,6,2,2,2
"80892",3,3,3,3,3,1,4,4,9,2,62,2,2,"UKR",2,3,0,0,0,0,0,0,0,3,3,1,4,2,9,3,3,3
"80893",3,3,3,3,3,1,4,1,5,1,67,2,1,"UKR",3,2,0,0,0,0,0,0,0,4,3,1,4,1,5,2,3,4
